id,title,subtitle,publication date,genres,naver rating,imdb rating,vote_count,critic_rating,director,actor,review
13691,피글렛 빅무비,Piglet's Big Movie,2003,애니메이션 가족,9,6.1,76,,프란시스글레바,존피들러 짐커밍스 앤드리스토이카 캐스소시 니키타홉킨스 피터쿨렌 켄샌섬 켄샌섬,
1689,리틀 부다,Little Buddha,1993,드라마 역사,8.23,6,76,,베르나르도베르톨루치,키아누리브스 잉루오쳉 크리스아이작 알렉스와이즌데인저,
318,밀리언 달러 호텔,The Million Dollar Hotel,2000,드라마 스릴러,6.35,5.9,76,,빔벤더스,제레미데이비스 밀라요보비치,
5956,조슈아,Joshua,2007,드라마 스릴러 호러,7.16,5.9,76,,조지래틀리프,제이콥코갠 샘록웰 베라파미가 셀리아웨스턴 달라스로버츠 마이클맥킨,
9756,하프 라이트,Half Light,2006,미스터리 스릴러 드라마 호러,6.27,5.9,76,,크레이그로젠버그,데미무어 한스매디슨,
12538,센스리스,Senseless,1998,코미디 로맨스,6.5,5.8,76,,페넬로프스피어리스,말론웨이언스,
18519,프리 윌리 3,Free Willy 3: The Rescue,1997,어드벤쳐,9.07,5.6,76,,샘필스버리,제이슨제임스리처 오거스트쉘렌버그,
10050,겟 오버 잇,Get Over It,2001,코미디 로맨스,8.07,5.5,76,,토미오하버,커스틴던스트 벤포스터 멜리사세이지밀러 시스코 쉐인웨스트 콜린행크스 스우지커즈 에드비글리주니어,
13172,프로모션,The Promotion,2008,코미디,5,5.4,76,,스티브콘래드,숀윌리엄스코트 존C.라일리,
9027,구루,The Guru,2002,코미디 로맨스,6.98,5.1,76,,데이지본쉐러메이어,헤더그레이엄 마리사토메이,
14219,스킨워커스,Skinwalkers,2006,판타지 액션 호러,4.28,4.5,76,,제임스아이삭,제이슨베어 엘리어스코티스 로나미트라 킴코티스,
267480,침묵의 시선,The Look of Silence,2014,역사 다큐멘터리,9.02,8,75,4,조슈아오펜하이머,, 이제 그만 잊자는 자들의 광란. 끝내 잊을 수 없는 이들의 탄식.
94047,마이웨이,My Way,2011,드라마 액션 역사 전쟁,7.18,7.6,75,2.5,강제규,장동건 오다기리죠 판빙빙, 가지만 있고 잎사귀는 없는 고목처럼.
11420,기업,The Corporation,2003,다큐멘터리,7.75,7.6,75,,제니퍼애봇 마크아흐바,피터드럭커 사무엘엡스타인 레이앤더슨,
9045,아멘,Amen.,2002,드라마 역사,7.73,7.1,75,,코스타가브라스,울리히터커 마티유카소비츠,
13370,마이티 윈드,A Mighty Wind,2003,코미디 음악,7.2,6.6,75,,크리스토퍼게스트,밥발라반 에드비글리주니어 제니퍼쿨리지 폴둘리 크리스토퍼게스트 존마이클히긴즈 마이클히치콕 돈레이크 유진레비 제인린치,
10729,도망자,Quick Change,1990,코미디 범죄,8.57,6.3,75,,하워드프랭클린 빌머레이,빌머레이 데일그랜드 밥엘리엇 지나데이비스 랜디퀘이드,
9364,폭풍의 언덕,Wuthering Heights,2011,드라마 로맨스,6.04,6,75,4,안드레아아놀드,카야스코델라리오 제임스호손, 바람이 탄식하고 들풀이 호소하는 멜로.
19592,데드 버드,Dead Birds,2004,호러 스릴러 서부,5.64,5.7,75,,알렉스터너,헨리토마스 니키에이콕스,
11632,베니티 페어,Vanity Fair,2004,드라마 로맨스,6.46,5.5,75,,미라네어,리즈위더스푼 제임스퓨어포이,
14871,메이크 해픈,Make It Happen,2008,드라마 로맨스,6.28,5.4,75,,다렌그랜트,메리엘리자베스윈스티드 테사톰슨,
